date,return,strategy,growth_1
2021-01-04,-0.013701064199660107,Baseline Equal Weight,0.9862989358003399
2021-01-05,0.012741623294831417,Baseline Equal Weight,0.9988659852964009
2021-01-06,0.013716586163369682,Baseline Equal Weight,1.012567016649378
2021-01-07,0.009797558524357708,Baseline Equal Weight,1.0224877012548346
2021-01-08,0.00253911971437204,Baseline Equal Weight,1.0250839199347936
2021-01-11,0.0002414370513015296,Baseline Equal Weight,1.0253314131737594
2021-01-12,0.0040531469905211726,Baseline Equal Weight,1.0294872321053514
2021-01-13,-0.0003666870544491996,Baseline Equal Weight,1.0291097324646177
2021-01-14,0.0041868925035171145,Baseline Equal Weight,1.0334185042887702
2021-01-15,-0.01246823740514158,Baseline Equal Weight,1.0205335970384315
2021-01-19,0.007686465686841393,Baseline Equal Weight,1.0283778935143362
2021-01-20,0.0075308815780699145,Baseline Equal Weight,1.0361224856478977
2021-01-21,-0.008091989758853502,Baseline Equal Weight,1.027738193105117
2021-01-22,-0.003257065088682176,Baseline Equal Weight,1.024390782916049
2021-01-25,0.0017190661049002465,Baseline Equal Weight,1.0261517783891323
2021-01-26,-0.0056332024769909506,Baseline Equal Weight,1.020371257649342
2021-01-27,-0.025689904680956,Baseline Equal Weight,0.9941580173011432
2021-01-28,0.010414456904308533,Baseline Equal Weight,1.0045116331283988
2021-01-29,-0.01484377110166979,Baseline Equal Weight,0.9896008923772763
2021-02-01,0.00851768601471714,Baseline Equal Weight,0.9980300020584298
2021-02-02,0.01746136858240077,Baseline Equal Weight,1.0154569717806663
2021-02-03,0.0018690288929368304,Baseline Equal Weight,1.0173548902004586
2021-02-04,0.009279172224145427,Baseline Equal Weight,1.0267951014397052
2021-02-05,0.006292140440644189,Baseline Equal Weight,1.0332558404217294
2021-02-08,0.013472894033687233,Baseline Equal Weight,1.0471767868694197
2021-02-09,-0.00285663638446354,Baseline Equal Weight,1.0441853835590829
2021-02-10,0.0018380613809194646,Baseline Equal Weight,1.0461046603871234
2021-02-11,-0.0011448702812424383,Baseline Equal Weight,1.044907006250377
2021-02-12,0.004569257067789323,Baseline Equal Weight,1.049681454973869
2021-02-16,0.0013897038414907303,Baseline Equal Weight,1.051140201324188
2021-02-17,0.0025314182146181086,Baseline Equal Weight,1.0538010767759374
2021-02-18,-0.006636366116092751,Baseline Equal Weight,1.0468076670169195
2021-02-19,0.0017552142697425666,Baseline Equal Weight,1.0486450387717436
2021-02-22,0.0031514621982569047,Baseline Equal Weight,1.0519498039708224
2021-02-23,0.0007040167077614345,Baseline Equal Weight,1.0526903942085442
2021-02-24,0.016122034613694103,Baseline Equal Weight,1.0696619051814775
2021-02-25,-0.019177178544150575,Baseline Equal Weight,1.0491488078439362
2021-02-26,-0.013518257118032562,Baseline Equal Weight,1.0349661445044245
2021-03-01,0.019963326496913902,Baseline Equal Weight,1.0556275115604186
2021-03-02,-0.002806234801394858,Baseline Equal Weight,1.052665172900168
2021-03-03,-0.006865622462034926,Baseline Equal Weight,1.0454379712441026
2021-03-04,-0.0076782230115960415,Baseline Equal Weight,1.0374108653560998
2021-03-05,0.017818035114266717,Baseline Equal Weight,1.0558954885829366
2021-03-08,0.002415640111810502,Baseline Equal Weight,1.0584461520790374
2021-03-09,0.005985780768517079,Baseline Equal Weight,1.064781778700663
2021-03-10,0.010144884675630017,Baseline Equal Weight,1.0755838670502935
2021-03-11,0.004733695242030489,Baseline Equal Weight,1.0806753532841542
2021-03-12,0.0073213229086621645,Baseline Equal Weight,1.0885873265049801
2021-03-15,0.005322672463124567,Baseline Equal Weight,1.0943815202914746
2021-03-16,-0.0006629149901878906,Baseline Equal Weight,1.0936560383766887
2021-03-17,0.00245252747758129,Baseline Equal Weight,1.0963382598618303
2021-03-18,-0.013330223758688198,Baseline Equal Weight,1.0817238255426613
2021-03-19,-0.004960196790008808,Baseline Equal Weight,1.0763582624955286
2021-03-22,0.005318652811677316,Baseline Equal Weight,1.0820830383947224
2021-03-23,-0.008369492885778818,Baseline Equal Weight,1.0730265521030558
2021-03-24,-0.0030626418984174286,Baseline Equal Weight,1.0697402560264706
2021-03-25,0.007372562002829097,Baseline Equal Weight,1.0776269823909481
2021-03-26,0.019572563755066552,Baseline Equal Weight,1.0987189052079749
