date,family,method,method_label,fund,return,growth_1
2021-03-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0009142788616754993,1.172181246981838
2021-03-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005798140521023787,1.1653847753957285
2021-03-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.014092748822480128,1.148961300474534
2021-03-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005947801689248466,1.1557950944383777
2021-03-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.03065124167451594,1.1912216492042285
2021-03-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007361535872945524,1.1999908701074746
2021-03-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00037708683411152855,1.1995383693493031
2021-03-31,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01182158627449148,1.2137188156721288
2021-04-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014672578757863874,1.2315272005849793
2021-04-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.023279357597137063,1.2601963626779982
2021-04-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007587666348006783,1.2697583122109706
2021-04-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01604906034533593,1.2493798844343047
2021-04-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01090370334072932,1.263002752054051
2021-04-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002921046595518284,1.2593134621650333
2021-04-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,3.663406188625373e-05,1.2593595959323405
2021-04-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.022681264095906206,1.2879234635193957
2021-04-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007794298856377724,1.297961923898207
2021-04-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.019041860880006256,1.3226775342806218
2021-04-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014763272899412705,1.342204583677129
2021-04-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.017627390955763045,1.3185450187380352
2021-04-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,1.2220841234311663e-05,1.3185611324673694
2021-04-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0007908267866473251,1.3175183790039822
2021-04-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01668728803635333,1.2955325703203533
2021-04-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0034733603502321575,1.3000324217825383
2021-04-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.03080051559811281,1.3400740906677038
2021-04-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009656461130173044,1.3530144640357884
2021-04-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0013114896637038687,1.3547889285202133
2021-04-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.004789403755794064,1.3612775597027762
2021-04-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012333922440587397,1.3780674515442624
2021-05-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.015444054543423347,1.3993504004304285
2021-05-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004839310008475928,1.3925785100322607
2021-05-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.045892196771010196,1.4564869970337415
2021-05-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.031043948969687873,1.5017021050446708
2021-05-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0034424290476482433,1.4965326020973506
2021-05-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.018020224949174546,1.4695647479637828
2021-05-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01797547394735255,1.4959808708047535
2021-05-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.055254476153108634,1.4133212314533656
2021-05-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.018497822751381454,1.4394645970835542
2021-05-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02384755126478444,1.4737923028563467
2021-05-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.010931679635632019,1.4576812775520607
2021-05-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0047274385432066746,1.4507901788968502
2021-05-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.06551031751177039,1.3557484536343594
2021-05-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.029592711083539225,1.395868725924716
2021-05-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.020847722733069562,1.3667680417548744
2021-05-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0434214135380806,1.4261150421065454
2021-05-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002822219894712541,1.4220902318625634
2021-05-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014938209570737104,1.4433337137746245
2021-05-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004818460165022298,1.4363790677699677
2021-05-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.012979098736480621,1.4177361620263673
2021-06-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.001932099105039331,1.4204753687962004
2021-06-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005871720903786626,1.428816003712475
2021-06-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00696052515149348,1.4387613134431723
2021-06-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00641012753274639,1.4295386699348198
2021-06-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.01467762124446259,1.4085564427832038
2021-06-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002292055543324012,1.405327953180438
2021-06-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006059146717764863,1.4138430414353345
2021-06-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004179762112069052,1.4079335138583307
2021-06-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005259946352154987,1.4005278591080348
2021-06-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0005924254516458394,1.4013575674575094
2021-06-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0005508898589561273,1.4021295611301932
2021-06-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.016818177195426998,1.3785482977201593
2021-06-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005996994018905744,1.3702811518239588
2021-06-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.021056399023819727,1.3414279651163343
2021-06-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.011228076069733639,1.32636630988194
2021-06-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002250712639371155,1.3233810404638526
2021-06-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006043867928923863,1.331379380692058
2021-06-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014283745514719559,1.3503964649494082
2021-06-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0029970768460660935,1.3463492229712988
2021-06-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00028686348868456335,1.3467354414063881
2021-06-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.008056440129902809,1.3575853348608968
2021-06-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0048601003995545344,1.3641833358892836
