date,sector,vader_sentiment,vader_sentiment_lag1,headline_count,ticker_news_count,tickers_in_sector,coverage_share,finance_sentiment,finance_sentiment_lag1,sentiment_difference
2020-01-02,Comm,0.08718,,11,4,5,0.8,0.08718,,0.0
2020-01-03,Comm,0.05423,0.08718,3,2,5,0.4,0.05423,0.08718,0.0
2020-01-06,Comm,0.10428583333333333,0.05423,16,3,5,0.6,0.12017583333333333,0.05423,0.01589
2020-01-07,Comm,0.17558,0.10428583333333333,5,3,5,0.6,0.17558,0.12017583333333333,0.0
2020-01-08,Comm,0.154382,0.17558,20,4,5,0.8,0.179239,0.17558,0.024857000000000018
2020-01-09,Comm,0.16018,0.154382,6,5,5,1.0,0.16018,0.179239,0.0
2020-01-10,Comm,0.028676666666666673,0.16018,8,4,5,0.8,0.028676666666666673,0.16018,0.0
2020-01-13,Comm,0.0006191666666666678,0.028676666666666673,14,2,5,0.4,0.0006191666666666678,0.028676666666666673,0.0
2020-01-14,Comm,0.03452,0.0006191666666666678,4,2,5,0.4,0.05516666666666666,0.0006191666666666678,0.02064666666666666
2020-01-15,Comm,0.00041833333333333165,0.03452,9,3,5,0.6,0.00041833333333333165,0.05516666666666666,0.0
2020-01-16,Comm,0.11389,0.00041833333333333165,17,4,5,0.8,0.11389,0.00041833333333333165,0.0
2020-01-17,Comm,0.038040000000000004,0.11389,8,3,5,0.6,0.038040000000000004,0.11389,0.0
2020-01-21,Comm,-0.022039999999999997,0.038040000000000004,19,4,5,0.8,-0.022039999999999997,0.038040000000000004,0.0
2020-01-22,Comm,0.10965,-0.022039999999999997,4,3,5,0.6,0.10965,-0.022039999999999997,0.0
2020-01-23,Comm,0.17530257142857142,0.10965,22,5,5,1.0,0.282974,0.10965,0.10767142857142858
2020-01-24,Comm,0.11109024242424241,0.17530257142857142,24,4,5,0.8,0.10426478787878786,0.282974,-0.006825454545454551
2020-01-27,Comm,-0.03633272727272728,0.11109024242424241,20,4,5,0.8,-0.026698181818181822,0.10426478787878786,0.009634545454545458
2020-01-28,Comm,0.036708000000000005,-0.03633272727272728,15,4,5,0.8,0.036708000000000005,-0.026698181818181822,0.0
2020-01-29,Comm,0.25270099999999995,0.036708000000000005,11,4,5,0.8,0.31640100000000004,0.036708000000000005,0.06370000000000009
2020-01-30,Comm,-0.010649999999999998,0.25270099999999995,18,4,5,0.8,-0.010649999999999998,0.31640100000000004,0.0
2020-01-31,Comm,-0.18866727272727274,-0.010649999999999998,15,4,5,0.8,-0.17968727272727275,-0.010649999999999998,0.008979999999999988
2020-02-03,Comm,0.1309225,-0.18866727272727274,21,5,5,1.0,0.1309225,-0.17968727272727275,0.0
2020-02-04,Comm,0.11257899999999998,0.1309225,17,5,5,1.0,0.12167149999999997,0.1309225,0.00909249999999999
2020-02-05,Comm,-0.006538333333333329,0.11257899999999998,12,4,5,0.8,-0.006538333333333329,0.12167149999999997,0.0
2020-02-06,Comm,0.06914000000000001,-0.006538333333333329,19,5,5,1.0,0.08966571428571429,-0.006538333333333329,0.020525714285714286
2020-02-07,Comm,0.03277599999999999,0.06914000000000001,13,4,5,0.8,0.03277599999999999,0.08966571428571429,0.0
2020-02-10,Comm,0.0914,0.03277599999999999,20,4,5,0.8,0.0914,0.03277599999999999,0.0
2020-02-11,Comm,-0.026111294117647045,0.0914,24,4,5,0.8,-0.007664470588235284,0.0914,0.018446823529411762
2020-02-12,Comm,0.15365222222222222,-0.026111294117647045,18,5,5,1.0,0.15365222222222222,-0.007664470588235284,0.0
2020-02-13,Comm,0.09172261904761905,0.15365222222222222,20,5,5,1.0,0.1201245238095238,0.15365222222222222,0.028401904761904753
2020-02-14,Comm,0.12498000000000001,0.09172261904761905,1,1,5,0.2,0.12498000000000001,0.1201245238095238,0.0
2020-02-18,Comm,0.04021809523809524,0.12498000000000001,23,5,5,1.0,0.04021809523809524,0.12498000000000001,0.0
2020-02-19,Comm,0.07368166666666666,0.04021809523809524,7,2,5,0.4,0.07368166666666666,0.04021809523809524,0.0
2020-02-20,Comm,0.038785,0.07368166666666666,15,3,5,0.6,0.038785,0.07368166666666666,0.0
2020-02-21,Comm,-0.03978333333333334,0.038785,7,3,5,0.6,0.009606666666666663,0.038785,0.04939
2020-02-24,Comm,0.028283333333333334,-0.03978333333333334,10,3,5,0.6,0.028283333333333334,0.009606666666666663,0.0
2020-02-25,Comm,0.12050666666666668,0.028283333333333334,5,3,5,0.6,0.12050666666666668,0.028283333333333334,0.0
2020-02-26,Comm,0.12558666666666668,0.12050666666666668,10,4,5,0.8,0.12558666666666668,0.12050666666666668,0.0
2020-02-27,Comm,0.13194,0.12558666666666668,8,4,5,0.8,0.13194,0.12558666666666668,0.0
2020-02-28,Comm,-0.09630999999999999,0.13194,17,5,5,1.0,-0.09630999999999999,0.13194,0.0
2020-03-02,Comm,0.09726666666666665,-0.09630999999999999,17,4,5,0.8,0.14065999999999998,-0.09630999999999999,0.043393333333333325
2020-03-03,Comm,0.040232,0.09726666666666665,11,4,5,0.8,0.053667999999999993,0.14065999999999998,0.013435999999999997
2020-03-04,Comm,0.10109666666666665,0.040232,7,4,5,0.8,0.10109666666666665,0.053667999999999993,0.0
2020-03-05,Comm,0.181035,0.10109666666666665,10,5,5,1.0,0.181035,0.10109666666666665,0.0
