strategy,annualised_return,annualised_volatility,sharpe,max_drawdown,final_growth_1,first_live_date,rebalance_count,return_change_vs_baseline,sharpe_change_vs_baseline,drawdown_change_vs_baseline
Baseline Equal Weight,0.12642379781817525,0.16117980666586595,0.8192923665597768,-0.20249210152511732,1.4272168148150346,2021-01-04,36,0.0,0.0,0.0
Standard VADER Tilt,0.12024572834539216,0.16086710619788186,0.7863670070906551,-0.20577192371038455,1.403953832199928,2021-01-04,36,-0.006178069472783099,-0.03292535946912167,-0.003279822185267234
Finance-Adjusted VADER Tilt,0.12168906355847287,0.1606726385044098,0.7951454249140519,-0.20420994251226643,1.4093658257589654,2021-01-04,36,-0.004734734259702389,-0.02414694164572484,-0.0017178409871491107
